STOK_KODU;CARISTOK_KODU;Parça No;Parça No1;Parça No2;Buffer;Depo;Pasif
32909-200;332H516A-0;;;;;2;
32924-200;F258170200-0;;;;;;5
32926-200;332H519A-0;;;;;2;
32936-200;332H520A-0;;;;;;5
33228-100;33228-100;0116;;;;;
33273-200;SV0-250-250-0;;;;;;
33274-100;MSV-02-0080-40-0;;;;;;5
33275-100;MSV-03-0100-40-02-0;;;;;;5
33276-200;SVO-200-25-0;;;;;;
33277-200;SVO-250-25-0;;;;;;
33278-200;SVO-315-25-0;;;;;;
33279-100;33279-100;;;;;;5
20106-200;295.14.01-0;;;;;;5
20109-200;330.14.01-0;;;;;;5
20112-200;350.14.31-0;;;;;;5
20113-200;350.14.41-0;;;;;;
20115-200;380.14.01-0;;;;;2;
20116-200;400.14.01-0;;;;;2;
20117-200;400.14.21-0;;;;;;
20118-200;400.14.22-1;;;;;;
20119-200;400.14.23-0;;;;;2;
20120-200;420.14.01-0;;;;;;
20122-200;420.14.92-0;;;;;;5
20123-200;430.14.01-0;;;;;;5
20124-200;430.14.21-0;;;;;2;
20126-200;267.14.11-0;;;;;;5
20128-200;310.14.01-0;;;;;2;
20129-200;431.14.31-0;;;;;;
20130-200;350.34.62-0;;;;;;
20132-200;395.14.01-0;;;;;;
20133-200;395.14.11-0;;;;;;5
20135-200;431.14.61-0;;;;;2;
20137-200;395.14.61-0;;;;;2;
20138-200;380.34.32-0;;;;;2;
20140-200;380.35.21-0;;;;;2;
20141-200;431.34.41-0;;;;;2;
20142-200;431.34.51-0;;;;;2;
20143-200;431.35.41-0;;;;;2;
20144-200;431.54.21-0;;;;;2;
20202-200;;#YOK;#YOK;#YOK;;;5
20203-200;295.15.01-0;;;;;2;
20204-200;330.15.01-0;;;;;2;
20205-200;;;;;;;5
20206-200;350.15.01-0;;;;;2;
20208-200;350.15.11-0;;;;;2;
20209-200;;#YOK;#YOK;#YOK;;;5
20210-200;350.15.21-0;;;;;2;
20213-200;;;;;;;5
20214-200;350.15.31-0;;;;;2;
20215-200;;;;;;;5
20216-200;350.35.01-0;;;;;2;
20218-200;380.15.01-0;;;;;2;
20221-200;380.15.21-0;;;;;2;
20224-200;420.15.01-0;;;;;2;
20228-200;430.15.21-0;;;;;2;
20229-200;;#YOK;#YOK;#YOK;;;5
20230-200;400.14.51-0;;;;;2;
20232-200;400.14.53-0;;;;;2;
20233-200;400.15.51-0;;;;;2;
20236-200;431.15.61-0;;;;;2;
20237-200;950.14.02-0;;;;;;
40250-200;40250-200;;;;;2;
30001-100;4505772-0;4505772-3;;12-1-700-1-R111/2;;;
30002-100;4705579-0;4705579-3;;F11C-700-0000-11;;;
30003-100;4626347-0;12-1-700-1-F011-7;;12-1-700-1-R111-2;;;
30004-100;4511784-0; ;;12-1-700-1-R111/2;;;
30005-100;4678316-3;4710376-3;;T41C-600-0000-17;;;
30006-100;4706181-0;4706181-3;;12-1-1200-1-R111;;;
30007-100;4705972-0;4705972-3;;12-1-800-1-R111/04;;;
30008-100;4706356-0; ;;F11C-800-0000-12;;;
30009-100;4505773-0; ;;12-1-800-1-R111/4;;;
30010-100;4505775-0;4505775-3;;12-1-1000-1-R111/3;;;
30011-100;4505771-0; ;;12-1-600-1-R111/2;;;
30012-100;4533763-3; ;;12-1-600-1-R111/2;;;
30013-100;4505770-3;4505770-3;;12-1-500-1-R111/4;;;
30014-100;4628017-0;4628017-3;;12-1-600-1-R111/2;;;
30015-100;4705626-3; ;;F1SC-600-0004-12;;;
30016-100;4629344-0; ;;12-1-800-1-R111/4;;;
30017-100;4629347-0;4629347-3;;12-1-1000-1-R111/3;;;
30018-100;4628481-0; ;;12-1-900-1-R111/2;;;
30019-100;4707287-0; ;;F11C-000-0001-12;;;
30020-100;4707331-0;H-FV012282F25/0;;;;;
30021-100;4051147-0;4051147-3;;12-1-1200-1-R111/2;;;
30022-100;4623265-3;4623265-3;;F1SC-10H-0007-11;;;
30023-100;4684771-3;F11F-000-0000-12;F11F-000-0000-12;F11C-000-0000-11;;;
30024-100;4665496-3;12-1-700-1-F011/7;12-1-700-1-F011/7;12-1-700-1-R111/2;;;
30025-100;4707461-0;F11F-700-0000-11;F11F-700-0000-11;F11C-700-0000-11;;;
30026-100;4633994-0;F11F-700-0002-10;;F11C-700-0000-11;;;
30027-100;4707620-0;F11F-900-0001-10;;12-1-900-1-R111;;;
30028-100;4711558-0;12-1-1200-1-R111/2;12-1-1200-1-R111/2;12-1-1200-1-R111/2;;;
30029-100;4707618-0;4707618-3;;F11C-900-0005-10;;;
30030-100;8707631-0;H-82215601F40;;;;;
30031-100;4707634-0;F1SG-600-0003-11;;;;;
30032-100;4702901-0; ;;12-1-500-1-R111/4;;;
30033-100;4687479-3;4703675-3;;12-1-600-1-R111/2;;;
30034-100;4511191-3;4511191-3;;12-1-1000-1-R111/R03;;;
30035-100;4705970-0; ;;12-1-800-1-R111-04;;;
30036-100;4634704-0;4634704-3;;F11C-900-0000-12;;;
30037-100;4664118-0;4664118-3;;F1WC-11H-0002-20;;;
30038-100;4705985-0; ;;F1SC-700-0004-11;;;
30039-100;4629935-3;4704378-3;;12-1-500-1-R111/3;;;
30040-100;4511785-0;12-1-800-1-F011/6;;;;;
30041-100;4511786-0;12-1-900-1-F011/7;;;;;
30042-100;4706459-0;12-1-120-1-F011/2;;;;;
30043-100;4707871-0;12-1-800-0002-10;;12-1-800-1-R111;;;
30044-100;4707880-0;12-1-800-0002-10;;;;;
30045-100;4708176-0; ;;F1SC-800-0008-10;;;
30046-100;4708274-0; ;;12-1-700-1-R111/2;;;
30047-100;4707094-0;H-FV012401F30;;;;;
30048-100;4639013-3;4707012-3;;12-1-1000-1-R111/3;;;
30049-100;4708408-0; ; ;T41C-750-000-10;;;
30050-100;4708525-0;F1SG-600-0003-14;;;;;
30051-100;4706455-0; ;;F1SC-800-0008-10;;;
30052-100;4685309-3;4708689-3;;F1SC-700-0003-11;;;
30053-100;4708688-0;4708688-3;;F1SC-900-0008-10;;;
30054-100;4705132-0;4705132-3;F1SK-350-0000-10;F12C-350-0001-17;;;
30055-100;4515014-0; ;;F12C-350-0001-17;;;
30056-100;4520058-0; ; ;F1SC-400-0002-10;;;
30057-100;4705264-0; ; ;;;;
30058-100;4617843-0; ;;T21C-400-0001-13;;;
30059-100;4705824-0; ; ;F1SC-500-0001-10;Kalacak;;
30060-100;4705538-0; ; ;F1SC-500-0001-11;;;
30061-100;4705798-0;F1SG-450-0001-13;F1SG-450-0001-13;FISC-450-0002-11;;;
30062-100;4705133-0; ; ;F12C-400-0001-16;;;
30063-100;4642429-0;4642429-3;;F1WC-54Z-0002-00;;;
30064-100;4709037-0; ; ;12-1-800-1-R111/03;;;
30065-100;4705505-0; ; ;12-1-900-1-R111/2;;;
30066-100;4709022-0; ; ;T41C-750-0000-10;;;
30067-100;4709049-0; ;;12-1-1200-1-R111/R02;;;
30068-100;4509073-0; ; ;12-1-800-1-R111/3;;;
30069-100;4709075-3; ; ;F1WC-14H-0001-02;;;
30070-100;4705654-0;12-1-1000-1-F011/8;12-1-1000-1-F011/8;12-1-1000-1-R111/3;;;
30071-100;4706227-0;4706227-3;;12-1-700-1-R111/2;;;
30072-100;4643606-0;T41F-750-0002-10;T41F-750-0002-10;T41C-750-0000-10;;;
30073-100;4709166-0;4709166-3;;F1SC-600-0005-10;;;
30074-100;4644837-0;4644837-3;;12-1-800-1-R111/R04;;;
30075-100;4645505-0; ; ;F11C-900-0000-11;;;
30076-100;4709350-0;F11F-000-0000-11;F11F-000-0000-11;F11C-000-0000-11;;;
30077-100;4656805-3;4709356-3;;T41C-700-0001-10;;;
30078-100;4521120-0;4621299-3;;T21C-350-0000-15;;;
30079-100;4636167-3; ; ;T21C-400-0001-11;;;
30080-100;4631234-0;T21F-450-0001-14;T21F-450-0001-14;T21C-450-0000-11;;;
30081-100;4521085-0; ; ;T41C-500-0000-13;;;
30082-100;4636173-3;T41F-600-0000-11;T41F-600-0000-11;T41C-600-0000-16;;;
30083-100;4709433-0;F1SG-16H-0000-01;F1SG-16H-0000-01;F1SC-16H-0000-00;;;
30084-100;4649049-3;4661918-3;;F1WC-16H-0002-00;;;
30085-100;4529570-0; ; ;T41C-900-0000-10;;;
30086-100;4521122-0; ; ;T21C-450-0000-15;;;
30087-100;4705850-0;FISG-900-0004-11;FISG-900-0004-11;FISC-900-0005-10;;;
30088-100;4709651-0;F1WG-14H-0003-00;F1WG-14H-0003-00;F1WC-14H-0002-00;;;
30089-100;4709802-0;F1WG-42Z-0001-21;F1WG-42Z-0001-21;F1WC-42Z-0001-20;;;
30090-100;4672116-3;4672116-3;F1SC-500-0003-10;F1SC-500-0003-10;;;
30091-100;4669104-3;4710123-3;;F1SC-600-0006-11;;;
30092-100;4709842-0; ; ;F1SC-12H-0006-12;;;
30093-100;4709840-0; ; ;F1SC-10H-0006-13;;;
30094-100;4654679-3; ; ;F1SC-750-0001-21;;;
30095-100;4709839-0;4709905-3;F1SC-900-0008-13;F1SC-900-0008-13;;;
30096-100;4705975-3;F11G-900-0001-10;F11G-900-0001-10;12-1-900-1-R111;;;
30097-100;4650076-0;FISG-800-0005-10;FISG-800-0005-10;FISC-800-0005-11;;;
30098-100;4654558-3;F1WG-13H-0000-02;F1WG-13H-0000-02;F1WC-13H-0000-00;;;
30099-100;4515015-0;;F12C-400-0001-15;F12C-400-0001-15;;;
30120-100;4710109-0;4710127-3;F1SC-500-0005-10;F1SC-500-0005-10;;;
30121-100;4653029-3;F1SG-800-0002-13;F1SG-800-0002-13;F1SC-800-0006-11;;;
30122-100;4653026-3;4710180-3;;F1SC-10H-0005-10;;;
30123-100;4653024-3;F1SG-12H-0006-11;F1SG-12H-0006-11;F1SC-12H-0005-10;;;
30124-100;4681843-3;12-1-800-0002-12;12-1-800-0002-12;12-1-800-1-R111/4;;;
30125-100;4710278-0;F1WG-15H-0000-00;F1WG-15H-0000-00;F1WC-15H-0000-00;;;
30126-100;4651533-0;ST3F-15H-0002-10;ST3F-15H-0002-10;ST3R-15H-0002-10;;;
30127-100;4710307-0;F11G-18H-0000-04;F11G-18H-0000-04;F1SC-18H-0001-01;;;
30129-100;4685642-0;4685642-3;;F1SC-12H-0011-20;;;
30750-100;4652930-0;4652930-3;;12-1-600-1-R111/2;;;
30751-100;4710458-0;4710458-3;;F1WC-14H-0002-00;;;
30752-100;4639296-3;4704069-3;;14-1-500-1-R041-R03;;;
30753-100;4702695-0;4702695-3;;14-1-350-1-R041-R01;;;
30754-100;4674534-3;4710563-3;;F11C-10H-0002-10;;;
30755-100;4710570-0;4710570-3;;T21C-350-0001-12;;;
30756-100;4642556-0;4642556-3;;12-1-600-1-R111/2;;;
30757-100;4710799-0;;;F1SC-250-0001-11;;;
30758-100;4656058-3; ; ;F1SC-18H-0002-01;;;
30759-100;4710862-0;4710862-3;;F11C-800-0003-10;;;
30760-100;4656818-0;4656818-3;;F1WC-15H-0002-00;;;
30761-100;4656750-0;4656751-3;;F1SC-400-0003-10;;;
30762-100;4710980-0;4710980-3;;F1WC-42Z-0002-20;;;
30763-100;4654885-3;4656505-3;;F12C-150-0002-10;;;
30764-100;4656513-0;4656513-3;;F12C-200-0003-10;;;
30765-100;4656735-0;4656735-3;;F12C-250-0003-10;;;
30766-100;4657815-0;4657815-3;;12-1-900-1-R111;;;
30767-100;4657286-0;4657286-3;;F1SC-250-0002-20;;;
30768-100;4657461-0;4657461-3;;F11C-12H-0003-10;;;
30769-100;4657019-0;4657019-3;;F1SC-100-0001-20;;;
30770-100;4657087-0;4657087-3;;F1SC-400-0002-21;;;
30771-100;4657211-0;4657211-3;;F1SC-350-0001-20;;;
30772-100;4657399-0;4657399-3;;F1SC-750-0002-10;;;
30773-100;4657292-0;4657292-3;;F1SC-600-0008-10;;;
30774-100;4520050-3;4656740-3;;F1SC-100-0001-14;;;
30775-100;4656730-0;4656730-3;;F12C-300-0002-15;;;
30776-100;2032562-3;4501551-3;;011-400-319E;;;
30777-100;4657809-0;4657809-3;;F1SC-300-0003-20;;;
30778-100;4654889-0;4654889-3;;F1SC-125-0001-14;;;
30779-100;4657267-3;4657359-3;;F1SC-300-0003-20;;;
30780-100;4666875-3;4701773-3;;F12C-300-0004-10;;;
30781-100;4659315-3;4659323-3;;F1SC-300-0002-20;;;
30782-100;4661298-3;4661298-3;;F1SC-500-0007-10;;;
30783-100;4540002-3;4659346-3;;F1SC-700-0007-21;;;
30784-100;4711068-0;4711115-3;;F1SC-12H-0009-12;;;
30785-100;4705129-0;4705129-3;;F12C-200-0002-14;;;
30786-100;4658524-0;4658524-3;;F1SC-100-0002-10;;;
30787-100;4658651-0;4658651-3;;12-1-500-1-R111/4;;;
30788-100;4659464-0;4659464-3;;F1SC-10H-0009-10;;;
30789-100;4711066-0;4711127-3;;F1SC-400-0001-20;;;
30790-100;4537820-0;4659325-3;;F1SC-200-0001-21;;;
30791-100;4659795-0;4659795-3;;F11C-800-0000-12;;;
30792-100;4710782-0;4710782-3;;T21C-400-0001-12;;;
30793-100;4711178-0;4711178-3;;T21C-450-0000-14;;;
30794-100;4658776-0;4658776-3;;12-1-1200-1-R111/R02;;;
30795-100;4521633-0;4521633-3;;T21C-350-0001-13;;;
30796-100;4505774-0;4505774-3;;12-1-900-1-R111/2;;;
30797-100;4705642-3;4705642-3;;F1SC-12H-0007-11;;;
30798-100;4664562-0;4664562-3;;F1SC-800-0009-21;;;
30799-100;4664552-0;4664552-3;;F1SC-10H-0010-10;;;
30800-100;4537819-0;4668095-3;;F1SC-150-0001-20;;;
30801-100;4711833-0;4711833-3;;F11C-12H-0006-20;;;
30802-100;4666889-0;4666889-3;;F1SC-450-0004-11;;;
30803-100;4711791-0;4711791-3;;F1SC-14H-0001-11;;;
30804-100;4711822-0;4711822-3;;F1WC-14H-0005-2;;;
30805-100;4684660-3;4711836-3;;F11C-700-0006-10;;;
30806-100;4683405-3;4711837-3;;F11C-800-0004-11;;;
30807-100;4711796-0;4711796-3;;F11C-500-0004-11;;;
30808-100;4711795-0;4711795-3;;F11C-600-0003-21;;;
30809-100;4711841-0;4711841-3;;F11C-500-0005-10;;;
30810-100;4686184-3;4711898-3;;F1WC-11H-0003-20;;;
30811-100;4708172-3;4711915-3;;F1WC-20H-0002-00;;;
30812-100;4670696-0;4670696-3;;F1SC-700-0008-20;;;
30813-100;4670692-0;4670692-3;;F1SC-600-0010-20;;;
30814-100;4659112-0;4659112-3;;F1SC-350-0004-10;;;
30815-100;4712056-0;4712056-3;;F1SC-400-0004-10;;;
30816-100;4705091-0;4705091-3;;T21C-350-0001-13;;;
30817-100;4684459-0;4684459-3;;T21C-400-0001-11;;;
30818-100;4684210-3;4711834-3;;F11C-12H-0007-21;;;
30819-100;4686359-0;4686359-3;;F1SC-12H-0009-23;;;
30820-100;6007549-0;6007549-3;;F1SC-900-0011-00;;;
30821-100;4664873-0;4664873-3;;F12C-250-0002-13;;;
88300-100;88300-100;;;;;;
88301-100;88301-100;;;;;;
88305-100;88305-100;;;;;;
88309-100;88309-100;;;;;;
88310-100;88310-100;;;;;;
48054-200;48054-200;;;;Kalacak;;
48060-200;48060-200;;;;;2;
48208-200;48208-200;;;;Kalacak;;
48209-200;48209-200;;;;Kalacak;;
48210-200;48210-200;;;;Kalacak;;
48211-200;48211-200;;;;Kalacak;;
48212-200;48212-200;;;;Kalacak;;
48213-200;48213-200;;;;Kalacak;;
48214-200;48214-200;;;;Kalacak;;
48215-200;48215-200;;;;Kalacak;;
48253-200;48253-200;;;;;2;
49500-100;49500-100;;;24.548;;2;
49501-100;49501-100;;;313.413;;2;
49502-100;809101-0;;;;;2;
49503-100;809316-0;;;;;2;
49504-100;809094-0;;;;Kalacak;;
49505-100;817931-0;;;;Kalacak;;
49506-100;817922-0;;;;Kalacak;;
49507-100;49507-100;;;;Kalacak;;
49508-100;49508-100;;;;;2;
49509-100;T010172-0;;;;Kalacak;;
49510-100;6027326 A-0;;;;;2;
49511-100;6027326 B-1;;;;;2;
49512-100;T010295-0;;;;;;
49513-100;T010294-0;;;;;;
31031-200;31031-200;;;;;;5
31034-200;31034-200;;;;;;5
31036-200;31036-200;;;;;;5
31101-200;31101-200;;;;;;5
31102-200;;;;;;;5
31103-200;31103-200;;;;;;5
31104-200;31104-200;;;;;;5
31106-100;;;;;;;5
31106-200;;;;;;;5
31250-200;;;;;;;5
31252-200;;;;;;;5
31253-100;;;;;;;5
31253-200;31253-210;;;;;;
31255-200;31255-200;;;;;;5
31257-200;31257-200;;;;;;5
31262-200;;;;;;;5
33420-200;33420-200;;;;;;
33424-200;33424-200;;;;;;5
33428-200;33428-200;;;;;;5
33431-200;33431-200;;;;;;5
33438-200;33438-200;;;;;;5
33452-100;33452-100;;;;;;
33453-100;33453-100;;;;;;
33454-200;33454-200;;;;;;5
33455-200;33455-200;;;;;;5
33456-200;33456-200;;;;;;5
33457-200;33457-200;;;;;;5
33458-200;33458-200;;;;;;5
33459-100;33459-100;;;;;;5
33461-100;33461-100;;;;;;5
33462-100;33462-100;;;;;;5
50000-100;HAZG-14669-001-0;;;HAZG-14669-001;;2;
50001-100;HAZG-14669-002-0;;;HAZG-14669-002;;2;
50002-100;HAZF-99030-002-0;;;HAZF-99030-001;;2;
70075-200;1545333-0;;;7661720;Kalacak;;
71500-200;413056-0;413056-3;;4.130.560.000;Kalacak;;
71501-200;654797-0;654797-3;;7.093.530-00;;2;
71502-200;1225213-0;1225213-3;;7.651.550-00;;2;
71503-200;5006230-0;;;500623-00/9N500623 G;Kalacak;;
71504-200;1559482-0;;;775269/00/001;;2;
71505-200;1559459-0;;;775156/00/001;;2;
71506-200;1559461-0;;;775271/00/001;;2;
71507-200;A5E34815022-0;;;A5E34761672001A;Kalacak;;
71508-200;A5E36643465-0;;;A5E36831145000A;;;5
71509-200;A5E44535554-0;;;769634;Kalacak;;
71515-200;007.070.930.000-0;;;5243834-003//707093-00 //7R5243834;;2;
71516-200;005.006.490.000-0;;;6193626-004/500649-00;;2;
71517-200;000.500.654-0;;;50065400;Kalacak;;
71518-200;000.500.559-0;;;50055900;Kalacak;;
71519-200;000.501.009-0;;;70600400;Kalacak;;
71520-200;000.500.960-0;;;50065500;Kalacak;;
71521-200;000.500.663-0;;;50066300;Kalacak;;
71522-200;000.500.656-0;;;70600800;Kalacak;;
71523-200;000.500.961-0;;;70599800;Kalacak;;
71524-200;000.500.962-0;;;50064400;Kalacak;;
71525-200;000.500.495-0;;;70600500;Kalacak;;
71526-200;000.500.666-0;;;70600700;Kalacak;;
71527-200;000.501.010-0;;;70600200;Kalacak;;
71528-200;000.500.671-0;;;50067100;Kalacak;;
71529-100;A5E47975627-0;A5E47975627A;;A5E37756400;Kalacak;;
71530-100;A5E47986197-0;A5E47986197A ;;A5E37756998 ;Kalacak;;
71532-100;F2E00112448-0;;;F2E00112448/ F2E00009824000A;Kalacak;;
71533-100;F2E00066104001-0;;;F2E00066104000A;Kalacak;;
71534-100;F2E00066384001-0;;;F2E00066384000A;Kalacak;;
71535-100;F2E00066398001-0;;;F2E00066398000A;Kalacak;;
71536-100;F2E00066407001-0;;;F2E00066407000A;Kalacak;;
71537-200;5.005.500.000-0;;;6079447 / F2E00369931A;Kalacak;;
71538-200;6.104.560.000-0;;;6193467 / F2E00347835A;Kalacak;;
71539-200;5.006.200.000-0;;;6083644 / F2E00364057A;;2;
70008-200;70000004369253-0;;;369254/B/001;;;5
70011-200;676195-3;676195-3;;5 876 195 c;;;
70012-200;675531-0;675531-3;;702182/00/001;Kalacak;;
70013-200;562231-0;562231-3;;703 290-00-001;Kalacak;;
70040-200;562227-0;562227-3;;703288-00;Kalacak;;
70042-200;562233-0;703 291-00;;703291-00;Kalacak;;
70043-200;669311-0;669311-3;;705 219-00;Kalacak;;
70044-200;677893-0;677893-3;;705 221-00;Kalacak;;
70062-200;675419-0;675419-3;;702364-00/001- 5881668;Kalacak;;
70063-200;676699-0;676699-3;;702392-00-001;Kalacak;;
70064-200;669261-0;669261-3;;703292/00/001;Kalacak;;
70065-200;675559-0;675559-3;;702363/00/001;Kalacak;;
70066-200;676700-0;676700-3;;702391-00-001;Kalacak;;
10314-100;92VB 4205 R02-0;0058;;;;;
10315-100;92VB 4206 R02-0;92VB 4206 R02-3;;;;;
30650-100;88283834-0;88283834-3;;7-0353-9195-01;;;5
30651-100;88283173-0; ;;7-0353-0106-ULA;;;5
30652-100;88283837-0;88283837-3;;7-0353-0102-ULA;;2;
30653-200;88283189-0; ; ;7-0025-0021_ULA;;2;
30654-200;88285190-0;88285190-3;;7-0010-0038-ULA;;2;
30655-100;88214064-0;88214064-3;;7-0006-9020;;2;
30656-100;88283170-0; ; ;7-0006-0008-ULA;;;5
30657-100;88263474-0;88263474-3;;7-0006-9011;;2;
30658-200;88279778-0;88279778-3;;7-0010-0031-ULA;;;5
30659-200;88279779-0;88279779-3;;7-0025-9016-ULA;;2;
30660-100;88283667-0;;;5-105-90-015-8-850;;2;
30661-100;88283666-0;;;5-105-90-020-8-850 / 58477;;2;
30662-100;88283661-0;;;5-105-90-025-8-850;;2;
30663-100;88282421-0;;;5-105-90-032-8-850 / 58477;;2;
30664-100;88282415-0;;;5-105-90-040-8-850 / 58477;;2;
30665-100;88280490-0;;;5-105-90-050-8-850/58477/59203;Kalacak;;
30666-100;88341152-0;;;5-105-90-065-8-800;Kalacak;;
30667-100;88342900-0;;;7-0405-9116;;2;
30668-100;88342932-0;;;7-0400-0129;;;5
30670-100;88343033-0;;;7-0405-9117;;2;
30671-100;88342946-0;;;7-0400-0130;;;5
30673-100;88343110-0;;;7-0405-9118;;2;
30674-100;88342986-0;;;7-0400-0131;;;5
30676-100;88344478-0;;;7-0405-9121;;2;
30678-100;88344598-0;;;7-0405-9122;;2;
30100-100;700611770-0;;;43.04.09 K;;2;
30101-100;700611688-0;;;43.03.09 G;Kalacak;;
01201-100;188426-0;;;394.063-02.001.10-01;Kalacak;;
34519-100;4S40P0B010-0;;;010438;;;5
30104-100;700611771-0;;;43.04.09 K;;2;
30105-100;700611686-0;700611686-3;;43.03.07 I;;2;
30106-100;700613150-0;700613150-3;;18.04.07 I;;;
30107-100;700612300-0;700612300-3;;18.03.03 I;;;
30108-100;700611367-0;700611367-3; ;33.12.07 H;;2;
30109-100;700612304-0; ;;18.03.05 I;;;
30110-100;700613141-0;700613141-3;;18.04.02 L;;;
30111-100;700613147-0; ; ;18.04.04 L;;;
30112-100;700611773-0;;;43.04.10 K;;;5
30113-100;700611796-0;43.04.07A;;;;;
30118-100;700611765-0; ;;43.04.06 L;;2;
30119-100;700611685-0;700611685-3;;43.03.06 E;Kalacak;;
30130-100;700620024-0;700620024-3;;43.14.06-I;Kalacak;;
30131-100;700611626-0;700611626-3;;43.14.07-F;;2;
30132-100;700620032-0;700620032-3;;43.11.07 L;Kalacak;;
30133-100;700611985-0;700611985-3;;43.11.06 I;Kalacak;;
30134-100;700611627-0;700611627-3;;43.14.08 F;Kalacak;;
30135-100;700611989-0;700611989-3;;43.11.10-H;Kalacak;;
30136-100;700611677-0;700611677-3;;43.11.18-G;Kalacak;;
30137-100;700612302-0;700612302-3;;18.03.04-I;;;
30138-100;700611988-0;700611988-3;;43.11.09-H;Kalacak;;
30139-100;700611984-0;700611984-3;;43.11.05-H;Kalacak;;
30140-100;700611886-0;700611886-3;;43.05.18 C;;2;
30142-100;700611777-3;;;19.03.06-N;;;
30143-100;700611179-3;;;19.05.07-H;;;
30144-100;700620018-0;;;43.04.07 N;;2;
30145-100;700620020-0;;;43.04.07 N;;2;
30146-100;700620022-0;;;43.04.07-N;;;5
30147-100;700623002-0;;;43.04.07 N;;2;
30148-100;700623022-0;;;43.04.07-K;;;5
30149-100;700611807-0;;;19.03.06-B;;;
30400-100;700612308-0;;;18.03.07 I;;;
30401-100;700611067-0;32.04.09;32.04.09;32.04.09;;;
30402-100;700611069-0;32.04.11;32.04.11;32.04.11;;;
30403-100;700611094-0;32.05.11-A;32.05.11-A;32.05.11-A;;;
30404-100;700611065-0;700611065-3;;32.04.07;;;
30405-100;700611085-0;700611085-3;;32.05.07;;;
30406-100;700611087-0;700611087-3;;32.05.09;;;
30408-100;700611697-0;700611697-3;;43.03.18 C;;2;
30409-100;700612482-0;700612482-3;;18.05.03 I;;;
30410-100;700612484-0;700612484-3;;18.05.04 J;;;
30411-100;700613149-0;700613149-3;;18.04.05 L;;;
30412-100;700613161-0;700613161-3;;18.04.04 L;;;
30413-100;700613163-0;700613163-3;;18.04.05 L;;;
30414-100;700613164-0;700613164-3;;18.04.07 I;;;
30415-100;700612483-0;700612483-3;;18.05.05-D;;;
30416-100;700611795-0;700611795-3;;43.04.06 K;;2;
30417-100;700611394-0;700611394-3;;33.17.04 P;Kalacak;;
30418-100;700611408-0;700612408;;33.17.03 M;Kalacak;;
30419-100;700611403-0;700611403-3;;33.17.08 J;Kalacak;;
30420-100;700620039-0;700620039-3;;43.04.18 E;;;
30421-100;700620041-0;700620041-3;;43.04.19 D;;;
30422-100;700611878-0;700611878-3;;43.05.09 E;Kalacak;;
30423-100;700611874-0;700611874-3;;43.05.06 J;;2;
30424-100;700611973-0;700611973-3;;43.12.06 I;Kalacak;;
30425-100;700611660-0;700611660-3;;43.12.17 I;;2;
30426-100;700611664-0;700611664-3;;43.12.18 I;;2;
30427-100;700611397-0;700611397-3;;33.17.05 O;;2;
30428-100;700611393-0;700611393-3;;33.17.04 P;Kalacak;;
30429-100;700620040-0;;;43.04.18 E;;;
30430-100;700620042-0;;;43.04.19 D;;;
30431-100;700611803-0;;;19.02.08 H;;;
30432-100;700611776-3;;;19.03.05 I;;;
30433-100;700611808-0;;;19.04.05 E;;;
30434-100;700611413-0;;;33.17.04 P;;;
30435-100;700611810-0;;;19.04.07 F;;;
30436-100;700611813-0;;;19.05.08-I;;;
30437-100;700611801-0;;;19.02.06 E;;;
30438-100;700620053-0;;;43.04.19 A;;;
30439-100;700623053-0;;;43.04.19 D;;;
30440-100;700611815-0;;;19.02.09 B;;;
30441-100;700611816-0;;;19.02.10 A;;;
30442-100;700611819-0;;;19.04.09 B;;;
30443-100;700611817-0;;;19.02.11 A;;;
30444-100;700620046-0;;;43.11.12 E;Kalacak;;
30445-100;700620044-0;;;43.05.20 B;;;
30446-100;700620043-0;;;43.05.19 B;;;
30447-100;700620014-0;;;43.04.07 N;;2;
30448-100;700611643-0;;;43.04.09 K;;;5
30449-100;700611820-0;;;43.05.24;;;
30450-100;700611182-3;;;19.05.10-C;;;
30451-100;700611821-0;;;19.04.08 A;;;
30452-100;700611178-3;;;19.05.09-C;;;
30453-100;700611630-0;;;43.14.13;Kalacak;;
30454-100;700611631-0;;;43.14.14;Kalacak;;
30455-100;700611629-0;;;43.14.12;Kalacak;;
30456-100;700614795-0;;;43.04.06 L;;2;
30457-100;700620038-0;;;43.03.20 D;;;
30458-100;700611639-0;;;43.04.06 K;;;5
30461-100;700620054-0;;;43.03.23 A2 - rev. B;;;
30462-100;700620055-0;;;43.03.24 A2-rev. B;;;
30463-100;700620056-0;;;43.04.23 A2-rev.A;;;
30464-100;700620059-0;;;43.04.24 A2-rev. A;;;
30465-100;700611775-0;;;43.04.22 A2;;;5
30466-100;700620060-0;;;43.04.22 A;;2;
30467-100;700611768-0;;;19.03.06 L;;;
30468-100;700611164-0;;;43.04.30;;2;
30469-100;700611168-0;;;43.04.35;;;
30470-100;700611169-0;;;43.12.35;;2;
30471-100;700611170-0;;;43.12.36;;2;
30472-100;700611166-0;;;43.04.32;Kalacak;;
30473-100;700611165-0;;;43.04.31 -;;2;
30474-100;700611167-0;;;43.04.18 F;;;
30475-100;700620058-0;;;43.04.34-A ;;;
30476-100;700620056-0;;;43.04.33-D;;;
30477-100;700611698-0;;;43.03.25 B;Kalacak;;
